# Generated from Google Mozc dictionary_oss. Do not edit manually.
あきたしょてん	秋田書店
あきたしんかんせん	秋田新幹線
あきただいがく	秋田大学
あきたびじん	秋田美人
あきたべん	秋田弁
あきっぽい	飽きっぽい
あきつ	秋津
あきづき	秋月
あきな	明菜
あきない	商い
あきになる	秋になる
あきの	秋野
あきは	秋葉
あきはばら	秋葉原
あきば	秋葉
あきばじんじゃ	秋葉神社
あきひこ	昭彦	明彦
あきひと	彰人
あきひめ	章姫
あきひろ	明宏	亮廣
あきふかき	秋深き
あきめい	秋めい
あきもと	秋元	秋本
あきゃ	開きゃ	明きゃ	空きゃ
あきや	空き家
あきやま	秋山
あきやまよしひろ	秋山成勲
あきゅー	阿Q
あきよ	飽きよ
あきようりょう	空き容量
あきよし	秋吉	明慶
あきよしだい	秋吉台
あきら	章	明	聴
あきらか	明らか
あきらめ	諦め
あきらめよ	諦めよ	諦らめよ
あきらめよう	諦めよう
あきらめりゃ	諦めりゃ
あきらめる	諦める
あきらめれ	諦めれ
あきらめろ	諦めろ
あきらめん	諦らめん
あきりゃ	飽きりゃ
あきる	飽きる
あきるの	あきる野
あきるのし	あきる野市
あきれ	呆れ	飽きれ
あきれる	呆れる
あきろ	飽きろ
あきん	飽きん
あく	悪	開く	空く
あくい	悪意
あくいんしょう	悪印象
あくえいきょう	悪影響
あくえりあす	水瓶座
あくしつ	悪質
あくしゅ	握手
あくしゅみ	悪趣味
あくそうきゅう	悪送球
あくたいをつい	悪態をつい
あくたいをつく	悪態をつく
あくたがわ	芥川
あくたがわしょう	芥川賞
あくたみ	芥見
あくつ	阿久津
あくなき	飽くなき
あくのはな	惡の華
あくひょうだかき	悪評高き
あくま	悪魔
あくめいたかい	悪名高い
あくめいたかき	悪名高き
あくめいだかい	悪名高い
あくめいだかかっ	悪名高かっ
あくめいだかき	悪名高き
あくやく	悪役
あけ	開け	空け	明け
あけえ	赤え
あけがた	明け方
あけくれ	明け暮れ
あけくれる	明け暮れる
あけし	明石
あけち	明智
あけちみつひで	明智光秀
あけはなて	開け放て
あけぼの	曙
あけまして	明けまして
あけます	開けます
あけみ	明美
あけよ	開けよ	空けよ	明けよ
あけよう	開けよう	空けよう	明けよう
あけりゃ	開けりゃ	空けりゃ
あける	開ける	空ける	明ける
あけれ	開けれ	明けれ	空けれ
あけろ	開けろ	空けろ
あけわたせ	明け渡せ
